domain_name,run_name,placement,rank,domain_f1,adaptation_gain,forgetting_acc_weighted,forgetting_ppl,general_acc_weighted,composite_score,composite_rank
keboola_docs,all_r16_seed42,all,16,0.520788,0.181399,-0.000783,-0.202603,0.749804,0.899826,1
keboola_docs,all_r8_seed42,all,8,0.519998,0.180609,0.019969,-0.226636,0.729052,0.729814,2
keboola_docs,all_r4_seed42,all,4,0.516711,0.177322,0.011159,-0.203666,0.737862,0.719913,3
keboola_docs,upper_r8_seed42,upper,8,0.500494,0.161105,-0.004307,-0.175583,0.753328,0.495377,4
keboola_docs,lower_r4_seed42,lower,4,0.505413,0.166024,0.002153,-0.072589,0.746868,0.482055,5
keboola_docs,lower_r8_seed42,lower,8,0.502589,0.1632,0.003915,-0.060432,0.745106,0.402469,6
keboola_docs,lower_r16_seed42,lower,16,0.510358,0.170969,0.025646,-0.070393,0.723375,0.391813,7
keboola_docs,upper_r16_seed42,upper,16,0.498454,0.159065,0.004699,-0.168639,0.744323,0.376292,8
keboola_docs,upper_r4_seed42,upper,4,0.491571,0.152182,-0.011355,-0.165667,0.760376,0.363317,9
techqa,techqa_lower_r8_seed42,lower,8,0.305029,0.104307,-0.017424,-0.048217,0.766445,0.849439,1
techqa,techqa_all_r8_seed42,all,8,0.270726,0.070004,-0.027016,-0.195414,0.776038,0.784683,2
techqa,techqa_all_r4_seed42,all,4,0.252337,0.051614,-0.019186,-0.147966,0.768207,0.625654,3
techqa,techqa_all_r16_seed42,all,16,0.225552,0.024829,-0.007439,-0.308276,0.75646,0.472672,4
techqa,techqa_lower_r16_seed42,lower,16,0.209553,0.00883,-0.022122,-0.055527,0.771143,0.392184,5
techqa,techqa_upper_r8_seed42,upper,8,0.211053,0.010331,0.008418,-0.166765,0.740603,0.251062,6
techqa,techqa_lower_r4_seed42,lower,4,0.187819,-0.012904,-0.014683,-0.024136,0.763704,0.224096,7
techqa,techqa_upper_r4_seed42,upper,4,0.195883,-0.00484,0.007439,-0.132404,0.741582,0.167335,8
techqa,techqa_upper_r16_seed42,upper,16,0.190865,-0.009857,0.021731,-0.213523,0.727291,0.082247,9
